ID,NAME,RESPONSE,PREFEC,DISTRICT,PR,PRBLOCK,INCUMB,TERM,PARTY,SEX,AGE,RESULT,Q1_1,Q1_2,Q1_3,Q2_1,Q2_2,Q2_3,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q3_9,Q3_10,Q3_11,Q3_12,Q4,Q5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,Q6_11,Q6_12,Q6_13,Q6_14,Q6_15,Q6_16,Q6_17,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q7_10,Q8,SQ8_1,SQ8_2,SQ8_3,Q9,Q10,Q11,Q12,Q13,Q14_1,Q14_2,Q14_3,Q15_1,Q15_2,Q15_3,Q1_1FA,Q1_2FA,Q1_3FA,SQ8_1FA,SQ8_2FA,SQ8_3FA,Q15FA
1,船橋利実,1,1,1,0,51,3,1,1,1,54,0,16,1,16,1,3,2,99,30,40,70,40,999,10,10,10,30,999,999,7,7,2,3,3,3,3,2,2,2,2,2,3,4,3,3,2,3,3,3,2,3,3,3,4,4,4,3,3,2,1,2,99,2,2,4,2,2,4,3,1,2,3,1,経済対策,,地方創生,,,,
2,横路孝弘,1,1,1,0,51,3,11,2,1,73,1,7,12,6,1,99,99,999,100,999,999,999,999,999,999,70,70,999,999,3,6,5,5,4,5,5,3,4,2,5,5,5,1,3,5,5,1,3,3,5,2,1,4,1,4,4,2,4,5,66,66,66,5,5,5,5,3,4,0,3,6,2,7,,,,,,,
3,野呂田博之,1,1,1,0,51,1,0,6,1,56,0,2,15,1,1,2,3,0,0,0,0,0,0,100,10,10,0,0,0,0,0,5,5,5,5,3,2,3,5,5,5,5,1,3,5,5,1,1,5,4,1,2,4,1,5,4,1,4,5,66,66,66,5,5,5,5,4,0,3,1,2,6,14,,,,,,,
4,飯田佳宏,1,1,1,0,66,1,0,13,1,41,0,7,5,6,5,99,99,50,50,75,100,25,50,0,50,25,75,0,0,7,66,2,2,1,3,4,3,3,1,1,3,2,2,2,4,4,2,1,1,4,5,2,5,2,5,4,1,1,2,2,99,99,2,2,4,4,2,1,1,0,1,99,99,,,,,,,
5,吉川貴盛,1,1,2,0,51,3,4,1,1,64,1,16,1,5,1,3,2,100,0,0,100,50,999,0,0,0,75,999,999,6,6,1,3,3,3,3,1,2,2,2,1,99,5,5,1,1,5,3,3,3,3,3,1,4,3,4,3,3,1,1,2,9,1,1,4,2,2,2,2,1,2,6,13,経済対策(景気回復),,,,,,
6,松木謙公,1,1,2,0,51,2,3,3,1,55,2,11,13,6,99,99,99,999,999,999,999,999,999,999,999,999,999,999,999,99,5,3,2,3,4,2,3,3,3,2,1,4,3,3,3,5,99,2,1,3,4,2,3,2,5,4,1,1,1,4,10,3,4,5,5,5,3,4,2,1,99,99,99,,,,,,,
7,金倉昌俊,1,1,2,0,51,1,0,6,1,40,0,2,12,7,3,1,99,0,0,0,0,0,0,100,0,30,0,999,0,3,3,5,5,5,5,5,1,3,5,5,5,5,1,3,5,5,1,2,4,5,1,2,5,1,5,5,1,5,5,66,66,66,5,5,5,5,4,3,3,0,1,2,6,,,,,,,
8,池田真紀,1,1,2,0,66,1,0,13,2,42,0,16,6,5,5,1,4,25,75,25,25,25,50,25,50,50,50,25,25,3,66,3,3,3,5,4,3,4,3,3,4,4,3,3,3,4,2,2,3,3,3,3,5,2,5,4,1,3,3,66,66,66,5,5,5,5,2,4,2,1,14,6,1,暮らし,,,,,,
9,高木宏寿,1,1,3,0,51,3,1,1,1,54,1,3,16,1,3,2,1,95,10,30,80,65,999,0,999,999,50,999,999,8,8,1,3,2,2,4,1,2,2,2,2,3,5,3,1,1,5,2,3,3,2,3,2,3,2,2,4,2,1,1,9,10,1,1,2,3,2,5,3,3,2,1,6,,地方創生,,,,前文,
10,荒井聰,1,1,3,0,51,3,6,2,1,68,2,7,1,15,1,5,3,999,999,999,999,999,999,999,999,999,999,999,999,5,5,4,5,4,5,4,3,4,2,4,5,4,1,3,3,2,1,3,2,4,3,2,5,3,4,5,2,3,2,6,7,8,5,5,4,4,2,4,2,3,2,6,1,,,,,,,
11,小和田康文,1,1,3,0,51,1,0,3,1,44,0,3,5,11,3,4,5,25,75,100,25,75,75,25,75,25,50,75,50,5,5,2,3,3,4,2,3,3,4,2,1,4,3,3,3,5,3,2,2,4,4,2,4,2,5,4,1,1,1,4,3,5,4,5,5,5,3,5,4,1,2,14,1,,,,,,,
12,吉岡弘子,1,1,3,0,66,1,0,6,2,63,0,12,7,15,2,1,5,0,0,0,0,0,0,100,0,70,0,0,0,1,1,5,5,5,5,5,4,5,5,5,5,5,1,2,5,5,1,3,5,5,5,4,3,1,5,5,1,5,5,66,66,66,5,5,5,5,4,4,2,1,2,6,1,,,,,,,
13,中村裕之,1,1,4,0,51,3,1,1,1,53,1,3,4,14,1,5,3,100,0,30,80,70,0,10,0,0,60,0,0,5,5,1,1,2,3,4,2,2,2,3,2,2,5,3,2,2,5,3,1,1,1,2,3,5,3,2,2,2,1,3,1,9,1,1,3,4,2,5,4,1,2,6,1,,,,,,,
14,鉢呂吉雄,1,1,4,0,51,2,7,2,1,66,0,7,6,1,4,2,3,999,100,999,999,999,999,999,999,80,80,999,999,3,4,5,5,4,5,5,3,4,3,5,3,5,1,3,5,4,1,3,3,5,2,1,5,2,5,4,2,4,5,66,66,66,5,5,5,5,3,1,0,1,2,1,6,,,,,,,
15,酒井隆裕,1,1,4,0,66,1,0,6,1,40,0,15,4,5,2,3,1,25,50,25,25,25,0,100,50,60,25,25,25,2,2,5,5,4,5,5,2,3,5,4,5,5,1,3,4,5,1,99,5,4,1,2,4,1,5,5,2,5,5,66,66,66,5,5,5,5,4,0,2,1,1,6,2,,,,,,,
16,町村信孝,1,1,5,0,51,3,11,1,1,70,1,16,16,16,3,4,1,100,50,999,90,999,999,999,999,999,999,999,999,7,7,1,1,2,1,3,2,2,1,2,4,1,5,3,1,1,1,1,1,2,4,2,4,4,4,5,2,4,1,1,2,5,1,1,2,2,2,2,0,5,2,1,6,景気対策,社会保障,少子化対策,,,,
17,勝部賢志,1,1,5,0,51,1,0,2,1,55,0,7,6,5,3,2,1,10,100,50,40,30,999,50,50,60,60,999,50,5,5,4,4,4,5,4,3,4,3,4,4,4,2,3,4,3,2,2,3,4,2,2,4,2,4,4,2,4,5,66,66,66,5,5,4,4,3,1,0,5,2,1,6,,,,,,,
18,鈴木龍次,1,1,5,0,66,1,0,6,1,54,0,12,4,15,1,2,4,75,25,0,50,0,0,100,0,75,50,0,0,5,5,5,5,5,5,5,2,2,5,4,5,5,1,3,4,5,1,3,5,5,2,3,5,1,5,4,5,5,5,66,66,66,5,5,5,5,4,3,3,0,1,2,14,,,,,,,
19,今津寛,1,1,6,0,51,3,6,1,1,68,2,16,1,16,1,3,5,100,0,30,100,30,30,0,0,0,50,0,0,8,8,1,3,3,99,3,1,2,2,2,1,99,5,5,1,1,5,3,2,3,3,3,1,4,3,4,4,3,1,3,1,9,1,1,4,2,2,2,3,2,2,1,6,,,,,,,
20,佐々木隆博,1,1,6,0,66,2,2,2,1,65,1,4,7,12,1,4,5,20,90,50,40,50,60,50,70,70,70,50,50,3,5,5,5,5,5,4,3,3,3,3,4,5,2,3,4,4,2,2,4,5,2,2,3,2,4,4,1,4,5,66,66,66,5,5,4,5,2,4,4,1,1,2,7,,,,,,,
21,荻生和敏,1,1,6,0,66,1,0,6,1,65,0,6,4,12,2,1,3,20,50,20,20,20,0,100,50,60,20,20,20,2,2,5,5,4,5,5,2,3,5,5,5,5,1,3,4,5,1,3,5,4,1,2,4,1,5,5,3,5,5,66,66,66,5,5,5,5,4,3,1,1,2,1,6,,,,,,,
22,伊東良孝,1,1,7,0,51,3,2,1,1,66,1,4,14,15,1,5,3,95,45,40,90,45,10,15,10,10,10,10,50,7,8,2,2,2,3,4,2,2,2,3,2,2,4,2,2,2,2,3,2,3,2,2,2,3,4,3,2,3,2,9,2,1,2,2,2,1,2,3,1,5,2,14,6,,,,,,,
23,鈴木貴子,1,1,7,0,51,3,1,2,2,28,2,7,5,6,5,99,99,999,100,999,999,999,999,999,999,999,100,999,999,5,5,3,5,3,5,2,2,2,2,3,2,4,4,3,3,5,3,3,3,3,2,2,4,1,2,4,1,4,2,6,7,8,5,5,5,4,3,5,4,5,2,99,99,,,,,,,
